Channel,Name,RX Frequency (MHz),TX Frequency (MHz),Offset (MHz),Mode,Channel Type,RX CTCSS/DCS,TX CTCSS/DCS,Power,Squelch Mode,Bandwidth,DMR ID (Own),DMR ID (Call),DMR Slot,DMR Color Code (RX),DMR Color Code (TX)
0,2m REE,146.52,146.00,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
1,2m Splx 1,146.58,146.58,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
2,2m Splx 2,146.64,146.64,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
3,70cm Call,446.0,446.0,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
4,70cm Splx,446.5,446.5,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
10,RPT 147.24,147.24,147.84,0.600000,NFM,Analog,100.0,100.0,Low,Carrier,N/A,-,-,N/A,N/A,N/A
11,RPT 146.64,146.64,146.04,-0.600000,NFM,Analog,131.8,131.8,Low,Carrier,N/A,-,-,N/A,N/A,N/A
12,RPT 147.00,147.0,147.6,0.600000,NFM,Analog,156.7,156.7,Low,Carrier,N/A,-,-,N/A,N/A,N/A
20,RPT 449.10,449.1,444.1,-5.000000,NFM,Analog,107.2,107.2,Low,Carrier,N/A,-,-,N/A,N/A,N/A
21,RPT 444.10,444.1,449.1,5.000000,NFM,Analog,100.0,100.0,Low,Carrier,N/A,-,-,N/A,N/A,N/A
40,NOAA WX1,162.55,162.55,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
41,NOAA WX2,162.4,162.4,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
42,NOAA WX3,162.475,162.475,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
43,NOAA WX4,162.425,162.425,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
44,NOAA WX5,162.45,162.45,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
45,NOAA WX6,162.5,162.5,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
46,NOAA WX7,162.525,162.525,0.000000,NFM,Analog,Off,Off,Low,Carrier,N/A,-,-,N/A,N/A,N/A
50,DMR TG91 WW,441.0,441.0,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,91,2,1,1
51,DMR TG93 NA,441.0,441.0,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,93,2,1,1
52,DMR TG310,441.0,441.0,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,310,3,1,1
53,DMR TG311,441.0,441.0,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,311,2,2,2
54,DMR Parrot,446.5,446.5,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,1270,3,1,1
55,DMR TG9999,446.5,446.5,0.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,9999,3,1,1
60,DMR RP TS1,449.1,444.1,-5.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,1210,2,1,1
61,DMR RP TS2,449.1,444.1,-5.000000,DMR,DMR,Off,Off,Low,Carrier,N/A,3752821,1210,3,1,1
